Parent Therapy,Therapy exact name and spelling reqd,Image,Description,
Hypnotherapy,Hypnobirthing,THRIIVE MODALITIES HYPNOTHERAPY-HYPNOBIRTHING.png,"Hypnobirthing is a unique antenatal program that teaches simple but specific self-hypnosis and relaxation techniques for an easier, more gentle birth that is often accompanied by a significant reduction in pain. It is not about “training mothers to give birth” but about getting rid of the fear and allowing their bodies and minds to relax so they can birth their babies gently. It has been quoted as ‘instinctive birthing’.",
Hypnotherapy,Hypnotherapy,THRIIVE MODALITIES HYPNOTHERAPY.png,"Hypnotherapy uses guided relaxation, concentration and focused attention to achieve a heightened state of awareness that occurs at a level of deep relaxation. This hypnotic state allows one to explore painful thoughts, feelings and memories they might have hidden from their conscious minds. In addition, hypnosis enables people to perceive prior experience from a new perspective, enabling immense growth and healing.",
Hypnotherapy,Subliminal Therapy,THRIIVE MODALITIES HYPNOTHERAPY-SUBLIMINAL THERAPY.png,"Subliminal Therapy is a form of hypnosis where audio-subliminal messages are used to access the subconscious mind of the listener. Old, negative thought-patterns are disrupted and new, healthier thought-processes are introduced to the mind. Subliminal therapy music programs use therapeutic subliminal messages to access the subconscious mind and alter negative thought patterns in order to form a happier and healthier individual.",
Hypnotherapy,Life Between Lives,THRIIVE MODALITIES HYPNOTHERAPY-LIFE BETWEEN LIVES.png,"Life Between Lives (or otherwise known as “life between life” or “LBL”) is the state in which your soul is in-between two lives. It is the period from after your spirit leaves your physical body in the last life to just prior to physical incarnation in this current lifetime. This is a deep hypnotherapy process designed to reconnect with one’s soul and awaken understanding of one’s immortal identity. Some of the benefits include losing the fear of physical death and gaining a complete understanding of who you really are with sum total of your past life, reception of the newly-arrived soul, ways spirits connect with and comfort the living, organization of souls and spiritual advancement in the afterlife, meaning of Hell, spirit guides and angels, selection of a new life, soulmates, purpose of life, the birth process and how one can get assistance in connecting souls with other soul teachers and guides, amongst others.,",
,Sound Healing,THRIIVE MODALITIES SOUND HEALING CATEGORY SYMBOL.png,,
Sound Healing,Tibetan Bowl,THRIIVE MODALITIES SOUND THERAPY-TIBETAN BOWL.png,"According to the Tibetan oral tradition, the existence of Tibetan singing bowls dates back to the time of the historical Buddha Shakyamuni (560 – 480 B.C.). These bowls produce sounds and vibrations which invoke a deep state of relaxation which thereby naturally assists one in entering into meditation, with the ultimate goal of enlightenment. These are also used for deep relaxation, stress reduction, holistic healing, along with Reiki, and Chakra balancing.",
Sound Healing,Crystal Bowl,THRIIVE MODALITIES SOUND THERAPY-CRYSTAL BOWL.png,"Crystal Bowl Healing is normally conducted using high quality pure crystal bowls. They have been discovered to have incredibly pure sounds and are used for sound healing coupled with the intent and awareness of the healer. The rich, pure, vibrancy of tone helps the listener to relax and achieve deep states of well-being and clarity. It also helps in balancing Chakras and sometimes also induces shamanic journeys to other dimensional states.",
Sound Healing,Voice Movement Therapy,THRIIVE MODALITIES SOUND THERAPY-VOICE MOVEMENT THERAPY.png,"The human voice reflects both physical and psychic states and has the ability to convey cognitive meaning and emotive expression simultaneously. Our voice is our primary mode of communication for both, ideas and feelings and can help us express primal sounds that enable healing. Voice Movement Therapy is used to express emotion through tone which expresses the emotional message underlying what we speak or sing.",
Sound Healing,Didgeridoo,THRIIVE MODALITIES SOUND THERAPY-DIDGERIDO.png,"The Didgeridoo or Yidaki is an ancient Australian aboriginal instrument. It is a wind instrument, where the player blows air into a long hollow pipe normally made of wood. It was traditionally played during ceremonial and shamanic processes. A didgeridoo is one of the few instruments that produce a sound that is naturally amalgamated and has a direct impact upon the positive functioning of the body and mind. Its deep resonating vibrations can take people into a deep transcendental meditation where they are able to reach Alpha and Delta states.",
,Natural Remedies,THRIIVE MODALITIESNATURAL REMEDIES-08.png,,
Natural Remedies,Naturopathy,THRIIVE MODALITIESNATURAL REMEDIES-ANTUROPATHY.png,"When one goes against nature, one falls ill. The healing happens only when the disease (toxins) is expelled from the body. Naturopathy cures diseases without the use of any medicines. Instead, it involves earth and nature to bring a balance into one’s body, which again is composed of the 5 elements. Naturopathy empowers the human body to heal itself by working on the immune system in the fuller sense of both, the physical and the psyche, which is responsible for one’s overall health and wellness.",
Natural Remedies,Ayurveda,THRIIVE MODALITIESNATURAL REMEDIES-AYURVEDA.png,"Ayurveda is the science of life and was developed thousands of years ago. It was believed that the Gods passed down this knowledge to humans. One of the main principles of Ayurveda is that the body and mind are inextricably connected and that when the mind is brought into balance, it has immense healing power as that balance extends to the body. It is a method of healing the body from illnesses by using a combination of treatments that include detoxification, cleansing, massage, dietary control, herbal medicines, communion with nature, and exercise.",
Natural Remedies,Homeopathy,THRIIVE MODALITIESNATURAL REMEDIES-HOMEOPATHY.png,"Homeopathy is a gentle and effective medicinal science that was developed in Germany. It does not treat superficially at the symptomatic level but heals the patient at the root level. The medicine is in the form of sugar pills that are infused with dilutions that contain the essence of natural substances treated with specific amount of vibration. It is scientific and works on the principles of quantum physics. This safe, quick and extremely effective method of healing offers long lasting to permanent cure, treating the disease from its roots, for most of the ailments.",
Natural Remedies,Bach Flower Remedies,THRIIVE MODALITIESNATURAL REMEDIES-BACH FLOWER REMEDIES.png,"Bach Flower Remedies uses 38 different flower essences distilled in water with the help of sun exposure or boiling. A special tincture is developed using these flowers which when taken orally can restore the internal balance and harmony between the mind, body and soul. This facilitates the natural healing abilities of the body to transform negative emotions while bringing about a sense of happiness and peace of mind.",
Natural Remedies,Tridosha Therapy,THRIIVE MODALITIESNATURAL REMEDIES-TRIDOSHA THERAPY.png,"Tridosha Therapy is an Ayurvedic study of human nature & bodily constitution through a combination of these elements: Vata – Air and Ether element, Pitta – Fire and Water element, Kapha – Water and Earth Element. Ayurvedic doctors understand and interpret how these elements interact with the individual and their environment. Based on this assessment, suitable treatment is recommended to bring about good health and a balance of body, mind and soul.",
Natural Remedies,Panchkarma,THRIIVE MODALITIESNATURAL REMEDIES-PANCHKARMA.png,"Panchkarma is a process developed by the study of Ayurveda for detoxification and purification through 5 therapies along with special detoxification diet. The combination of these therapies cleanses the body of its toxins in various ways, uses herbal medicines and oils as a method for healing and preventive therapy, which can also purify the mind, body and soul.",
Natural Remedies,Chinese / Tibetan Medicine,THRIIVE MODALITIESNATURAL REMEDIES-TIBETAN MEDICINE.png,"Chinese/ Tibetan Medicine -Tibetan medicine combines principles of Ayurveda and the natural bounty of the Himalayas with the philosophical and spiritual beliefs of the Buddhist faith.It is based on 5 elements: Earth, Water,Fire, Air and Space. The treatment includes medicines composed of natural minerals and herbs as well as physical therapies such as Tibetan acupuncture and moxibustion. It helps to cure nervous issue,digestive disorders, heartburn, back pain, asthma, arthritis, eczema, sinusitis, liver problems/disorders, kidney problems/disorders, circulation issues, anxiety, sleep disorders, high blood pressure, stress and tension, allergic skin reactions, sexual dysfunction, overall health and vitality.",
Natural Remedies,Aroma Therapy,THRIIVE MODALITIES_ALTERNATIVE THERAPIES-AROMA THERAPY.png,"Aromatherapy uses natural fragrant oils extracted from herbs, flowers, fruits, barks, stems, leaves, roots and other parts of a plant to enhance psychological, spiritual and physical well-being. The inhaled aroma from these “essential” oils is widely believed to stimulate brain functions, relax the neurological synapses as well as tap into memory. Essential oils can also be absorbed through the skin from where they travel through the bloodstream and promote whole-body healing.",
Natural Remedies,Salt Therapy,THRIIVE MODALITIES_ALTERNATIVE THERAPIES-SALT THERAPY.png,"Salt Therapy is a natural and non-invasive therapy that helps relieve the symptoms of a wide range of respiratory and skin conditions. Salt has the ability to cleanse and heal the energy body of negativity and auric dust it accumulates from stressful circumstances. It is a natural anti-inflammatory, antibacterial and antihistamine, so people experiencing everything from asthma to eczema can expect significant and lasting relief with regular salt therapy.",
,Body work,THRIIVE MODALITIES_BODY WORK CATEGORY SYMBOL.png,,
Body work,Reflexology,THRIIVE MODALITIES_BODY WORK-REFLEXOLOGY.png,"Reflexology is the application of appropriate pressure to specific points and areas on the feet, hands, or ears. It believes that these areas and reflex points correspond to different body organs and systems, and that pressing them has a beneficial effect on the organs and the person’s general health. For example, reflexology holds that a specific spot in the arch of the foot corresponds to the bladder point. When a reflexology practitioner uses thumbs or fingers to apply appropriate pressure to this area, it affects the bladder functioning.",
Body work,Cranio Sacral Therapy (CST),THRIIVE MODALITIES_BODY WORK-CRANO SACRAL THERAPy.png,,
Body work,Bowen Therapy,THRIIVE MODALITIES_BODY WORK-BOWEN THERAPY.png,"Bowen Therapy is a dynamic system of muscle and connective tissue therapy. It utilizes subtle inputs to the body known as moves, stimulating the body to heal itself, often profoundly. The practitioner’s moves deliver signals to the nervous system at specific locations (on muscles, tendons, ligaments, or nerves), and the body responds in its own time, within its vital capacity. It provides relief for many types of injuries and health problems, both acute and chronic, and is appropriate for people of all ages, in all degrees of health.",
Body work,EFT - Emotional Freedom Technique ,THRIIVE MODALITIES_BODY WORK-EFT.png,EFT – Emotional Freedom Technique originated from the ancient Chinese study of Chi and the paths of energy flow. It helps to transform physical or emotional issues by tapping on the meridian points with fingertips along with a specific affirmation. It relaxes the mind and balances the body.,
Body work,Tai Chi,THRIIVE MODALITIES_BODY WORK-TAICHI.png,"Tai Chi is an ancient Chinese tradition that is practiced as a graceful form of mindful exercise to stimulate the movement of Chi in the energy system. It involves a series of movements performed in a slow, meditative manner and accompanied by deep breathing. Also called Tai Chi Chuan, it is a non-competitive, self-paced system of gentle physical exercise and stretching. Each posture flows into the next without a pause, ensuring that the body is in constant motion.",
Body work,Rubenfeld Synergy,THRIIVE MODALITIES_BODY WORK-RUBENFELD SYNERGY.png,"Rubenfeld Synergy is an integrative somatic therapy which uses compassion and understanding towards the body and oneself. Through this connectedness it calms the nervous system after which the body, mind and spirit come into harmony. This method works by paying attention and listening to the intelligence of the body, bringing self-awareness, relief and transformation.",
Body work,Rolfing,THRIIVE MODALITIES_BODY WORK-ROFLING.png,"Rolfing is a system of soft tissue manipulation and movement education that organizes the whole body in congruence with the forces of gravity. Rolfing bodywork affects the body’s posture and structure by manipulating the myofascial system (connective tissue). Often considered a deep-tissue approach, Rolfing bodywork actually works with all the layers of the body to ease strain patterns in the entire system. This system of treatment has been shown to significantly reduce chronic stress, spinal curvature in subjects with lordosis (sway back), and to enhance neurological functioning.",
Body work,Somatic Experience,THRIIVE MODALITIES_BODY WORK-SOMATIC EXPERIENCE.png,"Somatic Experience aims at relieving the symptoms of emotional or mental trauma which are stored in the physical body and eventually turn into disease. A somatic experience includes tracking one’s bodily sensations and experience in a deep state of focused awareness. Other techniques used in this experience are breathing, movement and healing touch. Somatic experience helps patients become aware of the emotional blocks stored in their body and how it can awaken its intelligence to the conscious self.",
Body work,Physiotherapy,THRIIVE MODALITIES_BODY WORK-PHYSIO THERAPy.png,"Physiotherapy is a form of treatment that focuses on the science of movement and helps people to restore and/or maintain their physical strength, function, motion and overall well-being by addressing the underlying physical issues. Some of the techniques include Joint mobilisation (gentle gliding) techniques, Joint manipulation, Physiotherapy Instrument Mobilisation (PIM),Minimal Energy Techniques (METs), Muscle stretching, Neurodynamics, Massage and soft tissue techniques,Acupuncture and Dry Needling,Physiotherapy Taping. Benefits include preventing injury and disability; managing acute and chronic conditions, improving and maintaining optimal physical performance, rehabilitating injury and the effects of disease or disability and educating patients to prevent the re-occurrence of an injury.",
Body work,NAET- Nambudripad's Allergy Elimination Technique,THRIIVE MODALITIES_ALTERNATIVE THERAPIES-NAMBUDRIPAD ALLERGY ELIMINATION TECHNIQUE.png,"Nambudripad’s Allergy Elimination Technique (NAET) was discovered by Dr. Devi S. Nambudripad in November of 1983. It is a non-invasive, drug free, natural solution to alleviate allergies of all types and intensities using a blend of selective energy balancing, testing and treatment procedures from acupuncture/acupressure, allopathy, chiropractic, nutritional, and kinesiology disciplines of medicine.",
Body work,Nadi Therapy,THRIIVE MODALITIES_ALTERNATIVE THERAPIES-NADI THERAPY.png,"Nadi Therapy is an ancient therapy where a practitioner can reveal the past, present and future ailments along with the root cause of the individual’s ailments by merely checking the pulse. This therapy can be a preventive cure often alerting patients of major illnesses before the symptoms show up, allowing intervention and cures, from simple to chronic issues.",
Body work,Colour Therapy,THRIIVE MODALITIES_ALTERNATIVE THERAPIES-COLOR THERAPY.png,"The different frequencies of light have a profound and healing effect on all creation. Colour Therapy aims to balance and enhance the body’s vital energy centres and chakras by using the invisible colours of the light spectrum. Colour Therapy can be used to solve any problem: physical, mental, emotional or spiritual. It is also an overall relaxation therapy.",
Body work,Acupressure,THRIIVE MODALITIES_ALTERNATIVE THERAPIES-ACUPRESSURE.png,"Acupressure is an ancient healing therapy that uses the finger to apply gentle to firm pressure on key healing points that correspond with energy meridians throughout the body. This helps stimulate the body’s natural life force and self-healing abilities. This therapy releases muscular tension and is also effective in stress-related ailments. It increases circulation, reduces pain, enhances vibrancy of health and boosts the immune system.",
Body work,Acupuncture,THRIIVE MODALITIES_ALTERNATIVE THERAPIES-ACUPUNCTURE.png,"Acupuncture comes from an ancient Chinese form of Energy Therapy that works by inserting very thin needles into the patient’s skin at specific points on the body. This practice corresponds to the nervous system and stimulates the flow of Chi at various depths, and gives benefits such as release of pain management, tension and energetic blocks and also aiding the body in healing itself from chronic ailments.",
,Massage,THRIIVE MODALITIES_MASSAGE CATEGORY SYMBOL.png,,
Massage,Shiatsu,THRIIVE MODALITIES_MASSAGE-SHIATSU.png,"Shiatsu originated in Japan from traditional Chinese medicine.Shiatsu means ‘finger pressure’ where a practitioner uses touch, comfortable pressure and manipulative techniques to adjust the body’s physical structure and balance its energy flow. It is a deeply relaxing experience and regular treatments can alleviate stress and illness.",
Massage,Massage Therapy,THRIIVE MODALITIES_MASSAGE-MASSAGE THERAPY.png,"Massage Therapy is a manual massage of soft body tissues to enhance and relax the muscles, which in turn leads to the relaxation of the mind. A massage therapist is trained with a deep understanding of human anatomy and how sensations and touch can stimulate healing. It is used to reduce stress and anxiety, relax muscles, rehabilitate injuries, and reduce depression and chronic pain while promoting overall health and a sense of wellbeing.",
Massage,Thai Massage,THRIIVE MODALITIES_MASSAGE-THAI MASSAGE.png,"Thai Massage (Nuad Bo-Rarn) is a mixture of Acupressure, Yoga and Zen Shiatsu which is inspired by the Buddhist teachings of energy flow. It applies pressure on various body parts by the practitioner using the palms of the hands, thumbs, elbows, and feet without the use of oil or lotion. Thai Massage offers deep relaxation, reduction in stress levels, improved overall circulation and increased energy levels.",
Massage,Lomi Lomi,THRIIVE MODALITIES_MASSAGE-LOMI LOMI.png,Lomi Lomi is a Hawaiian massage which basically means to rub or soothe. It involves the use of body strokes and techniques which can make it a very sensual experience for the client. The therapist treats the client’s body as sacred which allows the client to relax completely without the judgment of the therapist. The technique reduces physical stress and relaxes tense muscles.,
Massage,Chi Nei Tsang,THRIIVE MODALITIES_MASSAGE-CHI NEI TSANG.png,"Chi Nei Tsang is a combination of Thai and Chinese healing massages with meditation techniques which only focus on the navel area (“center of the body”) as it believes that this is the primary area where imbalance first occurs. This therapy is quite helpful for children suffering from stomach ache. It detoxifies the body, reduces stress and anxiety and releases negative emotions.",chi-nei-tsang
,Meditation,THRIIVE MODALITIES_MEDITATION-CATEGORY SYMBOL.png,,
Meditation,Ana Pana Sati Meditation,THRIIVE MODALITIES_MEDITATION-ANA PANA SATI MEDITATION.png,"Ana Pana Sati Meditation is a simple breath meditation in which the doer is only asked to observe the natural breath and become one with it. Ana-Pana means inhalation and exhalation, and Sati is Mindfulness. Healing and enlightenment can be achieved through this meditation, along with finding pleasure in stillness.",
Meditation,Mindfulness,THRIIVE MODALITIES_MEDITATION-MINDFULNESS.png,"Mindfulness is the art and science of finding focus and stability in one’s daily life. Mindfulness helps individuals become aware of and experience the present moment and empowers them with response-ability. Being mindful in every action or being present in every moment can help one connect with one’s true nature, which is simply ‘being’. Most people live either in regret of the past or worry of the future but the past and future are both like dreams, so becoming mindful roots one in the present ‘Now’ moment. Doing this opens up the universe of opportunities to make the most of one’s life and find meaning and happiness.",
Meditation,Osho Dynamic Meditation,THRIIVE MODALITIES_MEDITATION-OSHO DYNAMIC MEDITATIon.png,"Osho Dynamic Meditation was founded by Bhagwan Shree Rajneesh Osho, better known as just “Osho”. In this meditation, one has to be completely conscious, alert and continuously aware of every action. It is a specific technique that lasts for an hour, including a sequence of 5 steps: breathing, catharsis (expressing yourself in whichever way you find comfortable), chanting the mantra ‘Hoo’, being still and celebrating in the form of dance. The meditation provides benefits of inner peace, silence, better attention, concentration, calming influence, stress management and freedom from addiction.",
Meditation,Meditation,THRIIVE MODALITIES_MEDITATION-CATEGORY SYMBOL.png,"Meditation is a state of thoughtless awareness, not an action but a state of being. It is a state of profound deep peace that occurs when the mind is calm and silent, yet completely alert. A regular practice of meditation can take one to higher levels of self-awareness and peace along with increased cognitive functions, lower anxiety and stress levels.",
Meditation,Transcendental Meditation,THRIIVE MODALITIES_MEDITATION-TRANSCENDENTAL MEDITATION.png,"The late Maharishi Mahesh Yogi revived the practice of Transcendental Meditation originating in the ancient Vedic tradition in India and brought it to the West. It is a form of meditation which involves the chanting of a mantra for 20 minutes, twice a day. It helps to reach deeper states of inner peace, calm, blissfulness, and experience the ‘self’ as pure consciousness. Taught by qualified teachers and practiced regularly it completely changes the quality of one’s experience of life.",
Meditation,Vipassana Meditation,THRIIVE MODALITIES_MEDITATION-VIPASSYANA MEDITATION.png,"Vipassana Meditation was rediscovered by Gautama Buddha more than 2500 years ago. In this practice, one goes into complete silence for a minimum of 10 days. Being in this silence takes you within to observe yourself and face your emotions. This conscious awareness and presence dissolves the emotions. In the 10-day Vipassana program there is no speaking and is referred to as the ‘noble silence’.",
Meditation,Zen Buddhism,THRIIVE MODALITIES_MEDITATION-ZEN BUDDHISM.png,"Zen Buddhism is a school of Mahayana Buddhism where the core practice is meditation, emphasizing mindfulness and intuition. It is a journey of self-discovery and living in the moment. Zen Buddhism helps one find wisdom and Universal truths experientially rather than through beliefs and rituals.",
Meditation,Progressive Relaxation Technique,THRIIVE MODALITIES_MEDITATION-PROGRESSIVE RELAXATION TECHNIQUE.png,"Progressive Relaxation Technique was invented in 1929 by Dr. Edmund Jacobson. The therapist guides the patient to tighten and relax specific muscle groups in a sequence. By paying attention to specific areas and muscle groups, one is able to become more aware of the body and in tune with its intelligence and physical sensations.It helps relax the body and mind and deal with anxiety issues.",
Meditation,Nichren Buddhism,THRIIVE MODALITIES_CHANTINGS-NICHREN BUDDHISM.png,,
Meditation,Angelic Chanting,THRIIVE MODALITIES_CHANTINGS-ANGELIC CHANTING.png,"Angelic Chanting is a way of invoking a Higher Power like the angels and archangels for assistance, guidance, support or simply blessings. Everybody’s angels try to communicate with them through many ways. Many spiritual masters can also channel and communicate with angels, receive their messages and also teach others to directly communicate with them. Angelic chanting is a mantra, a sound-based incantation that invokes their energy and opens the heart chakra by radiating love & compassion.",
,Quantum Energy Healing & Medicine,,,
Quantum Energy Healing & Medicine,Human Energetic Assessment Devices,,,
Human Energetic Assessment Devices,ALFA HRV Analyzer ,,"ALFA HRV Analyzer assesses the wellness of the internal regulatory systems such as the cardiac, hormonal, neurological and psycho-emotional systems based on Heart Rate Variability (HRV). ALFA, a system based on measuring the pulse variability synchronised with the Heart Rate Variability (HRV) has a direct connection to the nervous system, by the sinus node. Frequencies from the HRV are shown as ECG and RR-intervals. Measuring the pulse provides an image of the body’s various divisions over the spectrum as well as the synchronization of each division with each other.",
Human Energetic Assessment Devices,ES Complex ,,"ES Complex is an FDA- approved, non-invasive testing device used for the evaluation of the autonomic nervous system, organ functions and risk factors associated with heart disease, diabetes and stroke. It screens the tissue pathophysiologic process occurring inside the body and also provides information about the Autonomous Nervous System (ANS), Parasympathetic and Sympathetic System Activity, and the Digestive, Respiratory and Hormonal systems.",
Human Energetic Assessment Devices,BIOFIELD READER,,"Biofield Reader uses photographic filters to read auras. There are many layers to an aura: the outer layers indicate moods, emotions and thoughts and can change from moment to moment whereas the deeper layers of the aura do not change momentarily and indicate most deeply ingrained emotional and energetic issues. It filters gradations and light that cannot be seen by the naked eye, gives information on a person’s general energy levels and any imbalances and blocks, along with offering Live Aura Streaming.",
Human Energetic Assessment Devices,Resonant Field Imaging (RFI),,"Resonant Field Imaging (RFI) evaluates the aura or biofield of a body using electromagnetic feedback. RFI involves the use of small electronic devices that consist of a small chip and an antenna. The chip is capable of carrying around 2000 bytes of data. The RFID device serves the same purpose as a bar code or a magnetic strip on the back of an ATM card – it provides a unique identifier for that object. And, just as a barcode or magnetic strip must be scanned to get the information, the RFID device scans the body to retrieve identifying information such as Aura and Chakra Analysis, Brainwave Analysis, Organ level analysis, Vaastu (Objects and Spaces) Analysis and Botanical Analysis (Plants and Trees). It also finds much use in studying the behaviour of animals and in paranormal investigations.",
Human Energetic Assessment Devices,Quantum Resonance Magnetic Health Analyzer,,"Quantum Resonance Magnetic Health Analyser (QRMHA) tracks the optimal functioning of the body’s major systems, organs and glands based on sensing electromagnetic signals from the body. A sensor rod held in the hand of the patient collects data on various systems of the body using electrical impulses via “skin conductance”. Health data of 23 parameters is collected within minutes from various body systems. QRMHA replaces the need for ultrasonic, nuclear magnetic resonance or radiography for various health related conditions. Mostly recommended for Primary or Preventive Healthcare.",
Human Energetic Assessment Devices,Kirlian Photography,,The Universe consists of five elements. The human body too is connected with these five elements of nature. The colour of every cycle and aura represents a particular element that we are unable to understand or see with the naked eye. With the help of a Biowell GDV camera the movement of the 7 cycles of our body can be understood by analysing the pictures of the tips of our five fingers. This provides a full body analysis and a prognosis of present and future health problems. One can see the aura in real time. The holistic healer applying Kirlian photography can get pre and post reports after treatment.,
Quantum Energy Healing & Medicine,Detoxification & Energizing Devices,,,
Detoxification & Energizing Devices,Electro Reflex Energizer,,"Electro Reflex Energizer activates the energy centers on the feet, based on the study of reflexology. It includes, but is not limited to, relieving stress and tension, improving blood supply, promoting the unblocking of nerve impulses, and helping the body achieve homeostasis. It is also used to manage the energy balance in the body and the physical and emotional detoxification and this in turn helps in building greater body awareness.",
Detoxification & Energizing Devices,Foot De-tox,,"Unconsciously, we acquire many toxins into our physical body via the pollution in our environment, electromagnetic radiation, food & water, on a daily basis. Foot Detox aids in detoxification by throwing away the chemical toxins accumulated inside the body.",
Detoxification & Energizing Devices,FA Infra Sauna,,Far Infrared Sauna is an effective tool for natural healing & prevention. It has the ability to penetrate human tissues thereby producing a host of anti ageing health benefits. This makes infrared saunas one of the most effective therapies for an overall healthier living in today’s world.,
Detoxification & Energizing Devices,I - float,,"I – Float relaxes the muscles and releases tension by allowing the user to experience a zero-gravity state. The healing takes place at a deep level of relaxation and involves the subtle aligning of the spine and de-stressing of the back muscles. The intelligent use of light and sound offers the patient deep tissue healing, and a meditative experience by helping them experience alpha & theta brainwave states.",
Detoxification & Energizing Devices,Bio Tuner,,The Bio Tuner by SOTA is an easy-to-use relaxation product for stress relief and balancing the body’s energies. It outputs harmonic frequencies to promote health. This unit features an automatic built-in timer for 20-minute sessions.,
Detoxification & Energizing Devices,Silver Pulser,,Silver Pulsar uses gentle micro currents of electricity to stimulate the body’s immune system to generate more energy in order to promote good health. It also produces ionic colloidal silver to make germ-fighting water.,
Quantum Energy Healing & Medicine,Pain Management,,,
Pain Management,SCENAR-Cosmodic Ex735Ag,,Scenar Cosmodic Ex735Ag is a self-controlled Energy Neural Adaptive Regulator device. It works on neurological signal pathways that aren’t functioning optimally. It actively participates with the brain in establishing corrective healing patterns by establishing a two-way communication with the brain to help it correct the erratic holding pattern and trigger another system in the body to send the rebalancing chemicals and hormones. In this way it helps to restore lost bodily functions and trigger tissue regeneration. It is also used as a device to slow down ageing.,
Pain Management,Q LASER Q1000NG,,QLaser Q1000NG is a Light & Frequency medicine for deep tissue activation. The resonating low level lasers combine the therapeutic effect of light and frequency medicine for pain relief at deeper levels. The FDA has also confirmed the efficiency of Q1000NG in the treatment of osteoarthritis of the hand.,
Pain Management,Magnetic Pulsar,,"Magnetic Pulser is a small device designed to treat physiological and neurological disorders, and works on muscular relaxation. Bio magnetic impulses are used to restore the body to its original state of health. It can be used anywhere on the body.",
Quantum Energy Healing & Medicine,Stress Reduction,,,
Stress Reduction,NeuroSky MindWave & Mind Workstation,,NeuroSky Mind Wave & Mind Workstation uses dry EEG sensors to measure and monitor brain wave states in real-time. It is also capable of brainwave entrainment using bio-feedback optimization.,
Stress Reduction,Heartmath emWave Pro,,HeartMath emWave PRO improves wellness and facilitates personal growth by changing one’s heart rhythm pattern to create coherence. It uses ‘Biofeedback’ to collect data from a sensor attached to the earlobe to measure Heart Rate Variability (HRV). emWave technology collects pulse data and translates the information from one’s heart rhythms into graphics on the computer. It is a scientifically measurable state characterized by increased order and harmony in one’s psychological and physiological processes.,
Stress Reduction,Braintap-Mind Machine,,"BrainTap Mind Machine uses “brainwave entrainment” which, through the use of sound waves, changes the brain wave pattern and activates its peak potential. It ‘reboots’ the brain by cleaning the slate of the unimportant and teaches how to reinforce the most valuable information for better memory and brain power, thereby also giving it the endurance to handle extreme stress.",
Stress Reduction,EMOTIV Epoc+,,"Emotiv EPOC+ is a 14 channel wireless EEG, designed for contextualized research and advanced brain computer interface (BCI) applications. The EPOC+ provides access to dense array, high quality, raw EEG data, using the subscription-based software. It can be used to measure levels of meditation, focus and neurological health.",
Stress Reduction,Mindfold Relaxation Mask,,Mindfold Relaxation Mask simulates a zero-light environment that is ideal for relaxation and meditation.,
Quantum Energy Healing & Medicine,Energetic Analysis and Corrections,,,
Energetic Analysis and Corrections,SE -5  1000 Scalar Energy,,"SE-5 1000 is a product of Subtle Energy Research based on the concepts of Radionics and Biofield theory where SE-5 works through the IDFs (Intrinsic Data Field) that contain biofield information, like a microfilm, about how energy is organized and structured into matter. The SE-5 is designed to detect and balance these biofields with precision and accuracy through the use of Scalar Energy vibrations.",
Energetic Analysis and Corrections,Acmos ,,"Acmos Method is a special therapy for balancing the patient’s energy fields using a combination of traditional Chinese wisdom and scientific discoveries made in the field of modern molecular biology. The most important tool of Acmos Method is Acmos Lecher Antenna. It strengthens the body energetically and helps to cope with aggression, corrects the disturbances in the body’s energy field before they develop into illnesses and identifies deep physical or emotional energy blockages.",
Energetic Analysis and Corrections,Time Waver,,"TimeWaver uses the possibilities of Information Field technology in the shape of high-class medical devices. They can explore the background and correlations of various diseases found in the information field, and then positively influence them in that very same information field. Moreover, the power of minimal electrical currents and frequencies can be used with an aim to directly treat the cells and physical body.",
Quantum Energy Healing & Medicine,Testing Equipment for aiding research activity,,,
Testing Equipment for aiding research activity,Air Ion Counter,,Air Ion Counter measures Air Ion density – number of positive and negative ions in the air. It can also help assess radioactivity levels in the environment. Air purity in an area as well as changes due to any external event can be determined with this device.,
Testing Equipment for aiding research activity,Trifield Natural EM Meter,,Trifield Natural EM Meter measures electromagnetic levels in the environment and can also measure radio and microwave energy levels in any space.,
Testing Equipment for aiding research activity,COM-100: Water testing Meter,,"COM-100 is a waterproof EC / TDS / Temp Combo Meter which measures electrical conductivity (EC), total dissolved solids (TDS), salinity and temperature.",
,Breathwork,THRIIVE MODALITIES_BREATHWORK CATEGORY SYMBOL.png,,
Breathwork,Rebirthing,THRIIVE MODALITIES_BREATHWORK-REBIRTHING.png,"Rebirthing is a gentle yet conscious breathing technique that not only brings into conscious awareness the unconsciously held beliefs and emotions but also the relationships we have with our bodies, ourselves and our intimates. On practicing this conscious breathing, it becomes possible to resolve, integrate and heal previously unresolved issues within ourselves, filling us with more joy and allowing us to reach our true potential as human beings.",
Breathwork,Pranayama,THRIIVE MODALITIES_BREATHWORK-PRANAYAMA.png,Pranayama is the ancient yogic practice of controlling the mind using breath through conscious breathing exercises. Pranayama also balances the prana in the right and left hemispheres of the body and cleanses the nadis of blocks to stimulate a smoother flow of energy. The yogis taught that the mind and breath are intimately connected; our state of mind affects our breathing and similarly breathing can help change one’s state of mind. And so by mastering the breath one can gain mastery of the mind.,
